Ward Code,Area,Latitude,Longitude,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall_Days_Count,Longest_Rainfall_Days,Discharge_m3s,Nearest_Station,Elevation,Soil_Type,Soil_Wetness_Index,Road_Density_m,Distance_to_Water_m,Built_up_%,Population,Flood_Risk_Level
Ward N,RB Kadam Marg,19.0898,72.9156,30.2,1.3,2,24.0,,,7.0,,,,,,,
Ward S,Bhandup Tank Road,19.1436,72.9357,30.2,1.3,2,24.0,,,11.0,,,,,,,
Ward S,LBS Marg near Bhandup Station,19.1413,72.9341,30.2,1.3,2,24.0,,,9.0,,,,,,,
S,Kanjurmarg,18.98606011,72.8565653,30.2,1.3,2,24.0,,,6.0,,,,,,,
Ward S,Ganesh Nagar Slum Slope,19.1145,72.9306,30.2,1.3,2,24.0,,,5.0,,,,,,,
S,Bhandup,18.96848239,72.78874401,30.2,1.3,2,24.0,,,0.0,,,,,,,
Ward T,Mehul Circle,19.1741,72.9592,25.299999999999997,1.2,2,24.0,,,13.0,,,,,,,
T,Mulund,19.13907889,72.94062611,25.299999999999997,1.2,2,24.0,,,3.0,,,,,,,
Ward T,Sarojini Naidu Road,19.172,72.9554,25.299999999999997,1.2,2,24.0,,,12.0,,,,,,,
Ward T,Lok Rachana Society,19.1748,72.9426,25.299999999999997,1.2,2,24.0,,,24.0,,,,,,,
Ward T,Panch Rasta,19.1735,72.9478,25.299999999999997,1.2,2,24.0,,,18.0,,,,,,,
Ward T,Mulund Railway Subway,19.1728,72.9473,25.299999999999997,1.2,2,24.0,,,13.0,,,,,,,
